"Tanggal";"Harga_Jual";"Suku_Bunga";"TheFed";"Inflasi"
"2024-05-08";"16134.0";"6.25";"5.5";"2.84"
"2024-05-13";"16161.0";"6.25";"5.5";"2.84"
"2024-05-14";"16165.0";"6.25";"5.5";"2.84"
"2024-05-15";"16211.0";"6.25";"5.5";"2.84"
"2024-05-16";"16150.0";"6.25";"5.5";"2.84"
"2024-05-17";"16023.0";"6.25";"5.5";"2.84"
"2024-05-20";"16057.0";"6.25";"5.5";"2.84"
"2024-05-21";"16059.0";"6.25";"5.5";"2.84"
"2024-05-22";"16104.0";"6.25";"5.5";"2.84"
"2024-05-27";"16074.0";"6.25";"5.5";"2.84"
"2024-05-28";"16144.0";"6.25";"5.5";"2.84"
"2024-05-29";"16175.0";"6.25";"5.5";"2.84"
"2024-05-30";"16240.0";"6.25";"5.5";"2.84"
"2024-05-31";"16334.0";"6.25";"5.5";"2.84"
"2024-06-03";"16332.0";"5.5";"5.5";"2.84"
"2024-06-04";"16306.0";"5.5";"5.5";"2.84"
"2024-06-05";"16301.0";"5.5";"5.5";"2.84"
"2024-06-06";"16363.0";"5.5";"5.5";"2.84"
